date,market,MACD,Signal Line,MACD Histogram,Signal
2022-01-30,2006.53,-178.0590534189564,-169.53444604883788,-8.524607370118531,-1
2022-01-31,2065.66,-166.62562741570946,-168.9526823222122,2.3270549065027524,1
2022-02-01,2122.83,-151.2083776705358,-165.40382139187696,14.19544372134115,1
2022-02-02,2062.1,-142.25072185684712,-160.77320148487098,18.52247962802386,1
2022-02-03,1974.44,-140.60434511556014,-156.73943021100882,16.135085095448687,1
2022-02-04,2216.28,-118.42004031693841,-149.07555223219475,30.65551191525634,1
2022-02-05,2217.28,-99.60988652523292,-139.1824190908024,39.572532565569475,1
2022-02-06,2218.28,-83.65765906420756,-128.07746708548345,44.419808021275884,1
2022-02-07,2399.32,-55.76417419800009,-113.61480850798678,57.85063430998669,1
2022-02-08,2373.81,-35.3098008789143,-97.95380698217228,62.64400610325798,1
2022-02-09,2447.68,-12.989140291266722,-80.96087364399118,67.97173335272446,1
2022-02-10,2359.4,-2.395698061157873,-65.24783852742452,62.85214046626665,1
2022-02-11,2223.37,-4.920087219208199,-53.18228826578125,48.262201046573054,1
2022-02-12,2224.37,-6.762043542817537,-43.89823932118851,37.136195778370976,1
2022-02-13,2225.37,-8.048339311539166,-36.72825931925864,28.679920007719474,1
2022-02-14,2189.74,-11.806681132485664,-31.743943681904046,19.93726254941838,1
2022-02-15,2331.16,-3.335334341119051,-26.062221813747048,22.726887472627997,1
2022-02-16,2351.32,4.9479753597074705,-19.860182379056145,24.808157738763615,1
2022-02-17,2168.94,-3.1674711750829374,-16.521640138261503,13.354168963178566,1
2022-02-18,2102.68,-14.775328475274364,-16.172377805664077,1.397049330389713,1
2022-02-19,2103.68,-23.621651676560305,-17.662232579843323,-5.959419096716982,-1
2022-02-20,2104.68,-30.20356698609703,-20.170499461094067,-10.033067525002963,-1
2022-02-21,2105.68,-34.936365966661924,-23.12367276220764,-11.812693204454284,-1
2022-02-22,1955.53,-50.224041909079915,-28.543746591582096,-21.68029531749782,-1
2022-02-23,1971.42,-60.36163369406131,-34.90732401207794,-25.454309681983368,-1
2022-02-24,1980.98,-66.85368841227728,-41.29659689211781,-25.557091520159467,-1
2022-02-25,2026.52,-67.54537016116637,-46.54635154592752,-20.999018615238853,-1
2022-02-26,2027.52,-67.23776617341719,-50.68463447142546,-16.553131701991724,-1
2022-02-27,2028.52,-66.1507514687878,-53.77785787089793,-12.37289359788987,-1
2022-02-28,2148.11,-55.005304033893026,-54.02334710349695,-0.9819569303960733,-1
2022-03-01,2245.44,-37.88205827682259,-50.79508933816208,12.913031061339488,1
2022-03-02,2227.35,-25.477782446903348,-45.731627959910334,20.253845513006986,1
2022-03-03,2129.04,-23.311380785890833,-41.24757852510644,17.936197739215608,1
2022-03-04,2003.13,-31.392503350215975,-39.276563490128346,7.884060139912371,1
2022-03-05,2004.13,-37.28634577696357,-38.87851994749539,1.5921741705318198,1
2022-03-06,2005.13,-41.39934088878044,-39.3826841357524,-2.0166567530280446,-1
2022-03-07,1887.03,-53.571068216970616,-42.22036095199604,-11.350707264974574,-1
2022-03-08,1938.96,-58.35426121521641,-45.44714100464012,-12.907120210576288,-1
2022-03-09,2062.84,-51.55460602905305,-46.668634009522705,-4.885972019530342,-1
2022-03-10,1981.9,-52.09647611363698,-47.754202430345565,-4.342273683291417,-1
2022-03-11,1926.8,-56.322767762656895,-49.467915496807834,-6.854852265849061,-1
2022-03-12,1927.8,-58.91233794051959,-51.35679998555019,-7.555537954969402,-1
2022-03-13,1928.8,-60.19006571017826,-53.12345313047581,-7.066612579702451,-1
2022-03-14,1920.64,-61.156147971760674,-54.72999209873279,-6.426155873027888,-1
2022-03-15,1996.14,-55.19332184654172,-54.82265804829458,-0.37066379824714346,-1
2022-03-16,2054.04,-45.27380483280558,-52.912887405196784,7.639082572391203,1
2022-03-17,2095.18,-33.70433931112848,-49.07117778638313,15.366838475254653,1
2022-03-18,2164.32,-18.74040661681056,-43.00502355246862,24.26461693565806,1
2022-03-19,2165.32,-6.723189758107765,-35.748656793596446,29.02546703548868,1
2022-03-20,2166.32,2.848398262336559,-28.02924578240985,30.877644044746408,1
2022-03-21,2140.97,8.292823084480915,-20.764832009031696,29.05765509351261,1
2022-03-22,2209.27,17.912326029642827,-13.029400401296792,30.941726430939617,1
2022-03-23,2215.52,25.74342006326333,-5.274836308384769,31.0182563716481,1
2022-03-24,2331.8,40.86141772421115,3.9524144981344147,36.909003226076734,1
2022-03-25,2312.95,50.73664190046111,13.309259978599755,37.427381921861354,1
2022-03-26,2313.95,57.97521762942688,22.242451508765182,35.732766120661694,1
