date,tbill
9/22/2022,0.0319
9/23/2022,0.0312
9/24/2022,0.0312
9/25/2022,0.0312
9/26/2022,0.033
9/27/2022,0.0326
9/28/2022,0.0329
9/29/2022,0.0326
9/30/2022,0.0322
10/1/2022,0.0322
10/2/2022,0.0322
10/3/2022,0.0334
10/4/2022,0.0332
10/5/2022,0.0333
10/6/2022,0.0332
10/7/2022,0.0331
10/8/2022,0.0331
10/9/2022,0.0331
10/10/2022,0.0331
10/11/2022,0.0353
10/12/2022,0.0356
10/13/2022,0.0364
10/14/2022,0.0365
10/15/2022,0.0365
10/16/2022,0.0365
10/17/2022,0.0382
10/18/2022,0.0389
10/19/2022,0.0391
10/20/2022,0.0391
10/21/2022,0.039
10/22/2022,0.039
10/23/2022,0.039
10/24/2022,0.04
10/25/2022,0.0397
10/26/2022,0.0394
10/27/2022,0.0395
10/28/2022,0.0399
10/29/2022,0.0399
10/30/2022,0.0399
10/31/2022,0.0406
11/1/2022,0.0406
11/2/2022,0.0404
11/3/2022,0.0406
11/4/2022,0.0402
11/5/2022,0.0402
11/6/2022,0.0402
11/7/2022,0.0412
11/8/2022,0.041
11/9/2022,0.0411
11/10/2022,0.0409
11/11/2022,0.0409
11/12/2022,0.0409
11/13/2022,0.0409
11/14/2022,0.0416
11/15/2022,0.0414
11/16/2022,0.0414
11/17/2022,0.0413
11/18/2022,0.0415
11/19/2022,0.0415
11/20/2022,0.0415
11/21/2022,0.0423
11/22/2022,0.0421
11/23/2022,0.0421
11/24/2022,0.0421
11/25/2022,0.0422
11/26/2022,0.0422
11/27/2022,0.0422
11/28/2022,0.043
11/29/2022,0.0427
11/30/2022,0.0427
12/1/2022,0.0422
12/2/2022,0.0422
12/3/2022,0.0422
12/4/2022,0.0422
12/5/2022,0.0427
12/6/2022,0.0427
12/7/2022,0.042
12/8/2022,0.0417
12/9/2022,0.0419
12/10/2022,0.0419
12/11/2022,0.0419
12/12/2022,0.0429
12/13/2022,0.0426
12/14/2022,0.0423
12/15/2022,0.0422
12/16/2022,0.042
12/17/2022,0.042
12/18/2022,0.042
12/19/2022,0.0428
12/20/2022,0.0425
12/21/2022,0.0422
12/22/2022,0.0424
12/23/2022,0.0423
12/24/2022,0.0423
12/25/2022,0.0423
12/26/2022,0.0423
12/27/2022,0.0435
12/28/2022,0.0435
12/29/2022,0.0434
12/30/2022,0.043
12/31/2022,0.043
1/1/2023,0.043
1/2/2023,0.043
1/3/2023,0.044
1/4/2023,0.0441
1/5/2023,0.0451
1/6/2023,0.0451
1/7/2023,0.0451
1/8/2023,0.0451
1/9/2023,0.0455
1/10/2023,0.0457
1/11/2023,0.0457
1/12/2023,0.045
1/13/2023,0.0451
1/14/2023,0.0451
1/15/2023,0.0451
1/16/2023,0.0451
1/17/2023,0.0456
1/18/2023,0.0454
1/19/2023,0.0455
1/20/2023,0.0457
1/21/2023,0.0457
1/22/2023,0.0457
1/23/2023,0.0458
1/24/2023,0.0457
1/25/2023,0.0456
1/26/2023,0.0455
1/27/2023,0.0457
1/28/2023,0.0457
1/29/2023,0.0457
1/30/2023,0.0459
1/31/2023,0.0458
2/1/2023,0.0454
2/2/2023,0.0453
2/3/2023,0.0457
2/4/2023,0.0457
2/5/2023,0.0457
2/6/2023,0.0459
2/7/2023,0.0459
2/8/2023,0.0459
2/9/2023,0.0464
2/10/2023,0.0466
2/11/2023,0.0466
2/12/2023,0.0466
2/13/2023,0.0468
2/14/2023,0.0467
2/15/2023,0.0466
2/16/2023,0.047
2/17/2023,0.047
2/18/2023,0.047
2/19/2023,0.047
2/20/2023,0.047
2/21/2023,0.0472
2/22/2023,0.0471
2/23/2023,0.0471
2/24/2023,0.0472
2/25/2023,0.0472
2/26/2023,0.0472
2/27/2023,0.0474
2/28/2023,0.0472
3/1/2023,0.0473
3/2/2023,0.0474
3/3/2023,0.0474
3/4/2023,0.0474
3/5/2023,0.0474
3/6/2023,0.0476
3/7/2023,0.0487
3/8/2023,0.0489
3/9/2023,0.0487
3/10/2023,0.0483
3/11/2023,0.0483
3/12/2023,0.0483
3/13/2023,0.047
3/14/2023,0.0471
3/15/2023,0.0459
3/16/2023,0.0457
3/17/2023,0.0436
3/18/2023,0.0436
3/19/2023,0.0436
3/20/2023,0.0465
3/21/2023,0.0462
3/22/2023,0.0463
3/23/2023,0.0457
3/24/2023,0.0457
3/25/2023,0.0457
3/26/2023,0.0457
3/27/2023,0.0475
3/28/2023,0.0464
3/29/2023,0.0464
3/30/2023,0.048
3/31/2023,0.0468
4/1/2023,0.0468
4/2/2023,0.0468
4/3/2023,0.0477
4/4/2023,0.0474
4/5/2023,0.0472
4/6/2023,0.0477
4/7/2023,0.0481
4/8/2023,0.0481
4/9/2023,0.0481
4/10/2023,0.0494
4/11/2023,0.0489
4/12/2023,0.0487
4/13/2023,0.0495
4/14/2023,0.0498
4/15/2023,0.0498
4/16/2023,0.0498
4/17/2023,0.0506
4/18/2023,0.0504
4/19/2023,0.0501
4/20/2023,0.0497
4/21/2023,0.0498
4/22/2023,0.0498
4/23/2023,0.0498
4/24/2023,0.0504
4/25/2023,0.0497
4/26/2023,0.05
4/27/2023,0.0503
4/28/2023,0.0495
4/29/2023,0.0495
4/30/2023,0.0495
5/1/2023,0.051
5/2/2023,0.0508
5/3/2023,0.0509
5/4/2023,0.051
5/5/2023,0.051
5/6/2023,0.051
5/7/2023,0.051
5/8/2023,0.0515
5/9/2023,0.0513
5/10/2023,0.0508
5/11/2023,0.0504
5/12/2023,0.0508
5/13/2023,0.0508
5/14/2023,0.0508
5/15/2023,0.0506
5/16/2023,0.0507
5/17/2023,0.051
5/18/2023,0.0514
5/19/2023,0.0512
5/20/2023,0.0512
5/21/2023,0.0512
5/22/2023,0.0524
5/23/2023,0.0518
5/24/2023,0.0521
5/25/2023,0.0521
5/26/2023,0.0516
5/27/2023,0.0516
5/28/2023,0.0516
5/29/2023,0.0516
5/30/2023,0.0528
5/31/2023,0.0526
6/1/2023,0.0524
6/2/2023,0.0523
6/3/2023,0.0523
6/4/2023,0.0523
6/5/2023,0.052
6/6/2023,0.0518
6/7/2023,0.0516
6/8/2023,0.0512
6/9/2023,0.0511
6/10/2023,0.0511
6/11/2023,0.0511
6/12/2023,0.0514
6/13/2023,0.0511
6/14/2023,0.051
6/15/2023,0.0507
6/16/2023,0.0509
6/17/2023,0.0509
6/18/2023,0.0509
6/19/2023,0.0509
6/20/2023,0.0514
6/21/2023,0.0515
6/22/2023,0.0515
6/23/2023,0.0515
6/24/2023,0.0515
6/25/2023,0.0515
6/26/2023,0.0524
6/27/2023,0.0519
6/28/2023,0.0518
6/29/2023,0.052
6/30/2023,0.0517
7/1/2023,0.0517
7/2/2023,0.0517
7/3/2023,0.0521
7/4/2023,0.0521
7/5/2023,0.0521
7/6/2023,0.0523
7/7/2023,0.0522
7/8/2023,0.0522
7/9/2023,0.0522
7/10/2023,0.0525
7/11/2023,0.0525
7/12/2023,0.0524
7/13/2023,0.0524
7/14/2023,0.0525
7/15/2023,0.0525
7/16/2023,0.0525
7/17/2023,0.0526
7/18/2023,0.0525
7/19/2023,0.0526
7/20/2023,0.0526
7/21/2023,0.0527
7/22/2023,0.0527
7/23/2023,0.0527
7/24/2023,0.0528
7/25/2023,0.0528
7/26/2023,0.0528
7/27/2023,0.0528
7/28/2023,0.0528
7/29/2023,0.0528
7/30/2023,0.0528
7/31/2023,0.0528
8/1/2023,0.0527
8/2/2023,0.0527
8/3/2023,0.0527
8/4/2023,0.0528
8/5/2023,0.0528
8/6/2023,0.0528
8/7/2023,0.0529
8/8/2023,0.053
8/9/2023,0.0528
8/10/2023,0.0528
8/11/2023,0.0528
8/12/2023,0.0528
8/13/2023,0.0528
8/14/2023,0.0529
8/15/2023,0.0529
8/16/2023,0.0529
8/17/2023,0.0529
8/18/2023,0.0528
8/19/2023,0.0528
8/20/2023,0.0528
8/21/2023,0.053
8/22/2023,0.053
8/23/2023,0.053
8/24/2023,0.0531
8/25/2023,0.0534
8/26/2023,0.0534
8/27/2023,0.0534
8/28/2023,0.0534
8/29/2023,0.0533
8/30/2023,0.0532
8/31/2023,0.0532
9/1/2023,0.053
9/2/2023,0.053
9/3/2023,0.053
9/4/2023,0.053
9/5/2023,0.0532
9/6/2023,0.0531
9/7/2023,0.053
9/8/2023,0.0531
9/9/2023,0.0531
9/10/2023,0.0531
9/11/2023,0.0532
9/12/2023,0.0532
9/13/2023,0.0531
9/14/2023,0.0531
9/15/2023,0.0532
9/16/2023,0.0532
9/17/2023,0.0532
9/18/2023,0.0531
9/19/2023,0.0531
9/20/2023,0.0533
9/21/2023,0.0533
9/22/2023,0.0532
9/23/2023,0.0532
9/24/2023,0.0532
9/25/2023,0.0535
9/26/2023,0.0534
9/27/2023,0.0534
9/28/2023,0.0532
9/29/2023,0.0532
9/30/2023,0.0532
10/1/2023,0.0532
10/2/2023,0.0535
10/3/2023,0.0535
10/4/2023,0.0534
10/5/2023,0.0534
10/6/2023,0.0536
10/7/2023,0.0536
10/8/2023,0.0536
10/9/2023,0.0536
10/10/2023,0.0534
10/11/2023,0.0534
10/12/2023,0.0535
10/13/2023,0.0535
10/14/2023,0.0535
10/15/2023,0.0535
10/16/2023,0.0534
10/17/2023,0.0535
10/18/2023,0.0534
10/19/2023,0.0533
10/20/2023,0.0531
10/21/2023,0.0531
10/22/2023,0.0531
10/23/2023,0.0532
10/24/2023,0.0531
10/25/2023,0.0532
10/26/2023,0.0532
10/27/2023,0.0532
10/28/2023,0.0532
10/29/2023,0.0532
10/30/2023,0.0533
10/31/2023,0.0533
11/1/2023,0.0531
11/2/2023,0.0528
11/3/2023,0.0527
11/4/2023,0.0527
11/5/2023,0.0527
11/6/2023,0.0529
11/7/2023,0.0528
11/8/2023,0.0528
11/9/2023,0.0527
11/10/2023,0.0526
11/11/2023,0.0526
11/12/2023,0.0526
11/13/2023,0.0528
11/14/2023,0.0526
11/15/2023,0.0526
11/16/2023,0.0525
11/17/2023,0.0525
11/18/2023,0.0525
11/19/2023,0.0525
11/20/2023,0.0527
11/21/2023,0.0526
11/22/2023,0.0527
11/23/2023,0.0527
11/24/2023,0.0528
11/25/2023,0.0528
11/26/2023,0.0528
11/27/2023,0.0528
11/28/2023,0.0527
11/29/2023,0.0525
11/30/2023,0.0525
12/1/2023,0.0523
12/2/2023,0.0523
12/3/2023,0.0523
12/4/2023,0.0526
12/5/2023,0.0525
12/6/2023,0.0525
12/7/2023,0.0524
12/8/2023,0.0524
12/9/2023,0.0524
12/10/2023,0.0524
12/11/2023,0.0526
12/12/2023,0.0526
12/13/2023,0.0524
12/14/2023,0.0523
12/15/2023,0.0524
12/16/2023,0.0524
12/17/2023,0.0524
12/18/2023,0.0526
12/19/2023,0.0523
12/20/2023,0.0524
12/21/2023,0.0522
12/22/2023,0.0524
12/23/2023,0.0524
12/24/2023,0.0524
12/25/2023,0.0524
12/26/2023,0.0525
12/27/2023,0.0524
12/28/2023,0.0525
12/29/2023,0.052
12/30/2023,0.052
12/31/2023,0.052
1/1/2024,0.052
1/2/2024,0.0522
1/3/2024,0.0524
1/4/2024,0.0524
1/5/2024,0.0524
1/6/2024,0.0524
1/7/2024,0.0524
1/8/2024,0.0525
1/9/2024,0.0524
1/10/2024,0.0523
1/11/2024,0.0523
1/12/2024,0.0522
1/13/2024,0.0522
1/14/2024,0.0522
1/15/2024,0.0522
1/16/2024,0.0522
1/17/2024,0.0524
1/18/2024,0.0522
1/19/2024,0.0522
1/20/2024,0.0522
1/21/2024,0.0522
1/22/2024,0.0522
1/23/2024,0.0521
1/24/2024,0.0521
1/25/2024,0.0521
1/26/2024,0.0521
1/27/2024,0.0521
1/28/2024,0.0521
1/29/2024,0.0522
1/30/2024,0.0521
1/31/2024,0.0522
2/1/2024,0.0522
2/2/2024,0.0523
2/3/2024,0.0523
2/4/2024,0.0523
2/5/2024,0.0522
2/6/2024,0.0523
2/7/2024,0.0523
2/8/2024,0.0523
2/9/2024,0.0524
2/10/2024,0.0524
2/11/2024,0.0524
2/12/2024,0.0523
2/13/2024,0.0525
2/14/2024,0.0523
2/15/2024,0.0523
2/16/2024,0.0524
2/17/2024,0.0524
2/18/2024,0.0524
2/19/2024,0.0524
2/20/2024,0.0524
2/21/2024,0.0524
2/22/2024,0.0525
2/23/2024,0.0526
2/24/2024,0.0526
2/25/2024,0.0526
2/26/2024,0.0526
2/27/2024,0.0525
2/28/2024,0.0524
2/29/2024,0.0525
